index ,eventmsgtype     ,period ,pctimestring ,homedescription                                                ,neutraldescription ,visitordescription                                    ,score     ,scoremargin ,player1_name            ,player1_team_abbreviation ,player2_name            ,player2_team_abbreviation ,player3_name     ,player3_team_abbreviation
  269 ,FTMAKE           ,     3 ,0:34         ,Gilgeous-Alexander Free Throw 1 of 2 (29 PTS)                  ,                   ,                                                      ,118 - 111 ,-7          ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  270 ,FTMAKE           ,     3 ,0:34         ,Gilgeous-Alexander Free Throw 2 of 2 (30 PTS)                  ,                   ,                                                      ,118 - 112 ,-6          ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  271 ,3POINT           ,     3 ,0:28         ,                                                               ,                   ,Curry 29' 3PT Step Back Jump Shot (41 PTS)            ,121 - 112 ,-9          ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
  272 ,TIMEOUT          ,     3 ,0:23         ,Thunder Timeout: Regular (Reg.5 Short 0)                       ,                   ,                                                      ,          ,            ,                        ,                          ,                        ,                          ,                 ,
  273 ,3POINTMISS       ,     3 ,0:20         ,MISS Gilgeous-Alexander 28' 3PT Step Back Jump Shot            ,                   ,                                                      ,          ,            ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  274 ,REBOUND          ,     3 ,0:18         ,                                                               ,                   ,Looney REBOUND (Off:0 Def:11)                         ,          ,            ,Kevon Looney            ,GSW                       ,                        ,                          ,                 ,
  275 ,2POINT           ,     4 ,11:45        ,                                                               ,                   ,Poole 2' Driving Finger Roll Layup (18 PTS)           ,123 - 112 ,-11         ,Jordan Poole            ,GSW                       ,                        ,                          ,                 ,
  276 ,TURNOVER         ,     4 ,11:35        ,Jerome Out of Bounds Lost Ball Turnover (P1.T16)               ,                   ,                                                      ,          ,            ,Ty Jerome               ,OKC                       ,                        ,                          ,                 ,
  277 ,3POINT           ,     4 ,11:25        ,                                                               ,                   ,DiVincenzo 24' 3PT Jump Shot (7 PTS)                  ,126 - 112 ,-14         ,Donte DiVincenzo        ,GSW                       ,                        ,                          ,                 ,
  278 ,2POINTMISS       ,     4 ,11:10        ,MISS Mann 10' Driving Floating Jump Shot                       ,                   ,                                                      ,          ,            ,Tre Mann                ,OKC                       ,                        ,                          ,                 ,
  279 ,REBOUND          ,     4 ,11:07        ,                                                               ,                   ,Lamb REBOUND (Off:0 Def:3)                            ,          ,            ,Jeremy Lamb             ,GSW                       ,                        ,                          ,                 ,
  280 ,3POINTMISS       ,     4 ,11:01        ,                                                               ,                   ,MISS DiVincenzo 27' 3PT Jump Shot                     ,          ,            ,Donte DiVincenzo        ,GSW                       ,                        ,                          ,                 ,
  281 ,REBOUND          ,     4 ,10:58        ,Mann REBOUND (Off:0 Def:1)                                     ,                   ,                                                      ,          ,            ,Tre Mann                ,OKC                       ,                        ,                          ,                 ,
  282 ,2POINT           ,     4 ,10:52        ,Mann 2' Driving Reverse Layup (13 PTS)                         ,                   ,                                                      ,126 - 114 ,-12         ,Tre Mann                ,OKC                       ,                        ,                          ,                 ,
  283 ,2POINT           ,     4 ,10:38        ,                                                               ,                   ,Lamb 12' Turnaround Fadeaway Bank Jump Shot (5 PTS)   ,128 - 114 ,-14         ,Jeremy Lamb             ,GSW                       ,                        ,                          ,                 ,
  284 ,2POINT           ,     4 ,10:24        ,Bazley 5' Driving Layup (11 PTS)                               ,                   ,                                                      ,128 - 116 ,-12         ,Darius Bazley           ,OKC                       ,                        ,                          ,                 ,
  285 ,2POINTMISS       ,     4 ,10:12        ,                                                               ,                   ,MISS Lamb 18' Step Back Bank Jump Shot                ,          ,            ,Jeremy Lamb             ,GSW                       ,                        ,                          ,                 ,
  286 ,REBOUND          ,     4 ,10:09        ,Bazley REBOUND (Off:2 Def:4)                                   ,                   ,                                                      ,          ,            ,Darius Bazley           ,OKC                       ,                        ,                          ,                 ,
  287 ,3POINT           ,     4 ,10:04        ,Mann 25' 3PT Jump Shot (16 PTS)                                ,                   ,                                                      ,128 - 119 ,-9          ,Tre Mann                ,OKC                       ,                        ,                          ,                 ,
  288 ,2POINT           ,     4 ,9:51         ,                                                               ,                   ,Poole 9' Floating Jump Shot (20 PTS)                  ,130 - 119 ,-11         ,Jordan Poole            ,GSW                       ,                        ,                          ,                 ,
  289 ,2POINT           ,     4 ,9:38         ,Bazley 16' Pullup Jump Shot (13 PTS)                           ,                   ,                                                      ,130 - 121 ,-9          ,Darius Bazley           ,OKC                       ,                        ,                          ,                 ,
  290 ,3POINT           ,     4 ,9:33         ,                                                               ,                   ,Lamb 25' 3PT Jump Shot (8 PTS)                        ,133 - 121 ,-12         ,Jeremy Lamb             ,GSW                       ,                        ,                          ,                 ,
  291 ,TIMEOUT          ,     4 ,9:33         ,Thunder Timeout: Regular (Reg.1 Short 0)                       ,                   ,                                                      ,          ,            ,                        ,                          ,                        ,                          ,                 ,
  292 ,2POINT           ,     4 ,9:23         ,Mann 5' Driving Floating Bank Jump Shot (18 PTS)               ,                   ,                                                      ,133 - 123 ,-10         ,Tre Mann                ,OKC                       ,                        ,                          ,                 ,
  293 ,TURNOVER         ,     4 ,9:12         ,                                                               ,                   ,Toscano-Anderson Bad Pass Turnover (P1.T14)           ,          ,            ,Juan Toscano-Anderson   ,GSW                       ,                        ,                          ,                 ,
  294 ,STEAL            ,     4 ,9:09         ,Mann STEAL (1 STL)                                             ,                   ,                                                      ,          ,            ,Tre Mann                ,OKC                       ,                        ,                          ,                 ,
  295 ,2POINTMISS       ,     4 ,9:04         ,MISS Bazley 10' Driving Floating Jump Shot                     ,                   ,                                                      ,          ,            ,Darius Bazley           ,OKC                       ,                        ,                          ,                 ,
  296 ,REBOUND          ,     4 ,9:00         ,                                                               ,                   ,Looney REBOUND (Off:0 Def:12)                         ,          ,            ,Kevon Looney            ,GSW                       ,                        ,                          ,                 ,
  297 ,2POINT           ,     4 ,8:50         ,                                                               ,                   ,Toscano-Anderson 4' Driving Layup (2 PTS)             ,135 - 123 ,-12         ,Juan Toscano-Anderson   ,GSW                       ,                        ,                          ,                 ,
  298 ,FOUL             ,     4 ,8:50         ,                                                               ,                   ,Toscano-Anderson S.FOUL (P1.T14) (P.Fraher)           ,          ,            ,Juan Toscano-Anderson   ,GSW                       ,Darius Bazley           ,OKC                       ,                 ,
  299 ,FTMISS           ,     4 ,8:50         ,MISS Bazley Free Throw 1 of 2                                  ,                   ,                                                      ,          ,            ,Darius Bazley           ,OKC                       ,                        ,                          ,                 ,
  300 ,REBOUND          ,     4 ,8:50         ,THUNDER Rebound                                                ,                   ,                                                      ,          ,            ,                        ,                          ,                        ,                          ,                 ,
  301 ,SUB              ,     4 ,8:50         ,SUB: Giddey FOR Jerome                                         ,                   ,                                                      ,          ,            ,Ty Jerome               ,OKC                       ,Josh Giddey             ,OKC                       ,                 ,
  302 ,SUB              ,     4 ,8:50         ,SUB: Dort FOR Wiggins                                          ,                   ,                                                      ,          ,            ,Andrew Wiggins          ,OKC                       ,Luguentz Dort           ,OKC                       ,                 ,
  303 ,FTMAKE           ,     4 ,8:50         ,Bazley Free Throw 2 of 2 (14 PTS)                              ,                   ,                                                      ,135 - 124 ,-11         ,Darius Bazley           ,OKC                       ,                        ,                          ,                 ,
  304 ,2POINT           ,     4 ,8:34         ,                                                               ,                   ,Poole 6' Driving Floating Bank Jump Shot (22 PTS)     ,137 - 124 ,-13         ,Jordan Poole            ,GSW                       ,                        ,                          ,                 ,
  305 ,3POINT           ,     4 ,8:24         ,Dort 26' 3PT Jump Shot (19 PTS)                                ,                   ,                                                      ,137 - 127 ,-10         ,Luguentz Dort           ,OKC                       ,                        ,                          ,                 ,
  306 ,2POINT           ,     4 ,8:10         ,                                                               ,                   ,Toscano-Anderson 3' Driving Layup (4 PTS)             ,139 - 127 ,-12         ,Juan Toscano-Anderson   ,GSW                       ,                        ,                          ,                 ,
  307 ,FOUL             ,     4 ,8:10         ,Mann S.FOUL (P1.T8) (J.Capers)                                 ,                   ,                                                      ,          ,            ,Tre Mann                ,OKC                       ,Juan Toscano-Anderson   ,GSW                       ,                 ,
  308 ,FTMAKE           ,     4 ,8:10         ,                                                               ,                   ,Toscano-Anderson Free Throw 1 of 1 (5 PTS)            ,140 - 127 ,-13         ,Juan Toscano-Anderson   ,GSW                       ,                        ,                          ,                 ,
  309 ,TURNOVER         ,     4 ,8:02         ,Mann Lost Ball Turnover (P1.T17)                               ,                   ,DiVincenzo STEAL (1 STL)                              ,          ,            ,Tre Mann                ,OKC                       ,Donte DiVincenzo        ,GSW                       ,                 ,
  310 ,3POINT           ,     4 ,7:58         ,                                                               ,                   ,DiVincenzo 23' 3PT Jump Shot (10 PTS)                 ,143 - 127 ,-16         ,Donte DiVincenzo        ,GSW                       ,                        ,                          ,                 ,
  311 ,3POINTMISS       ,     4 ,7:47         ,MISS Giddey 25' 3PT Jump Shot                                  ,                   ,                                                      ,          ,            ,Josh Giddey             ,OKC                       ,                        ,                          ,                 ,
  312 ,REBOUND          ,     4 ,7:44         ,                                                               ,                   ,Looney REBOUND (Off:0 Def:13)                         ,          ,            ,Kevon Looney            ,GSW                       ,                        ,                          ,                 ,
  313 ,2POINT           ,     4 ,7:35         ,                                                               ,                   ,Lamb 20' Pullup Jump Shot (10 PTS)                    ,145 - 127 ,-18         ,Jeremy Lamb             ,GSW                       ,                        ,                          ,                 ,
  314 ,TIMEOUT          ,     4 ,7:35         ,Thunder Timeout: Regular (Reg.2 Short 0)                       ,                   ,                                                      ,          ,            ,                        ,                          ,                        ,                          ,                 ,
  315 ,SUB              ,     4 ,7:35         ,SUB: Gilgeous-Alexander FOR Mann                               ,                   ,                                                      ,          ,            ,Tre Mann                ,OKC                       ,Shai Gilgeous-Alexander ,OKC                       ,                 ,
  316 ,2POINT           ,     4 ,7:18         ,Dort 3' Cutting Layup Shot (21 PTS)                            ,                   ,                                                      ,145 - 129 ,-16         ,Luguentz Dort           ,OKC                       ,                        ,                          ,                 ,
  317 ,FOUL             ,     4 ,7:18         ,Bazley S.FOUL (P2.T9) (S.Wall)                                 ,                   ,                                                      ,          ,            ,Darius Bazley           ,OKC                       ,Jeremy Lamb             ,GSW                       ,                 ,
  318 ,FTMAKE           ,     4 ,7:18         ,                                                               ,                   ,Lamb Free Throw 1 of 1 (11 PTS)                       ,146 - 129 ,-17         ,Jeremy Lamb             ,GSW                       ,                        ,                          ,                 ,
  319 ,2POINTMISS       ,     4 ,7:07         ,MISS Gilgeous-Alexander 16' Pullup Jump Shot                   ,                   ,                                                      ,          ,            ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  320 ,REBOUND          ,     4 ,7:04         ,                                                               ,                   ,Poole REBOUND (Off:0 Def:3)                           ,          ,            ,Jordan Poole            ,GSW                       ,                        ,                          ,                 ,
  321 ,2POINT           ,     4 ,6:59         ,                                                               ,                   ,Poole 5' Driving Layup (24 PTS)                       ,148 - 129 ,-19         ,Jordan Poole            ,GSW                       ,                        ,                          ,                 ,
  322 ,2POINT           ,     4 ,6:49         ,Giddey 4' Driving Layup (22 PTS)                               ,                   ,                                                      ,148 - 131 ,-17         ,Josh Giddey             ,OKC                       ,                        ,                          ,                 ,
  323 ,FOUL             ,     4 ,6:49         ,                                                               ,                   ,Lamb S.FOUL (P1.T15) (M.Lindsay)                      ,          ,            ,Jeremy Lamb             ,GSW                       ,Josh Giddey             ,OKC                       ,                 ,
  324 ,FTMAKE           ,     4 ,6:49         ,Giddey Free Throw 1 of 1 (23 PTS)                              ,                   ,                                                      ,148 - 132 ,-16         ,Josh Giddey             ,OKC                       ,                        ,                          ,                 ,
  325 ,3POINTMISS       ,     4 ,6:30         ,                                                               ,                   ,MISS Poole 27' 3PT Step Back Jump Shot                ,          ,            ,Jordan Poole            ,GSW                       ,                        ,                          ,                 ,
  326 ,REBOUND          ,     4 ,6:28         ,Dort REBOUND (Off:0 Def:1)                                     ,                   ,                                                      ,          ,            ,Luguentz Dort           ,OKC                       ,                        ,                          ,                 ,
  327 ,3POINT           ,     4 ,6:18         ,Giddey 25' 3PT Jump Shot (26 PTS)                              ,                   ,                                                      ,148 - 135 ,-13         ,Josh Giddey             ,OKC                       ,                        ,                          ,                 ,
  328 ,FOUL             ,     4 ,6:03         ,                                                               ,                   ,Looney OFF.Foul (P2.T16) (S.Wall)                     ,          ,            ,Kevon Looney            ,GSW                       ,Darius Bazley           ,OKC                       ,                 ,
  329 ,TURNOVER         ,     4 ,6:03         ,                                                               ,                   ,Looney Turnover (P1.T15)                              ,          ,            ,Kevon Looney            ,GSW                       ,                        ,                          ,                 ,
  330 ,2POINT           ,     4 ,5:54         ,Gilgeous-Alexander 1' Cutting Layup Shot (32 PTS)              ,                   ,                                                      ,148 - 137 ,-11         ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  331 ,FOUL             ,     4 ,5:43         ,                                                               ,                   ,Poole OFF.Foul (P2.T17) (S.Wall)                      ,          ,            ,Jordan Poole            ,GSW                       ,Luguentz Dort           ,OKC                       ,                 ,
  332 ,TURNOVER         ,     4 ,5:43         ,                                                               ,                   ,Poole Turnover (P3.T16)                               ,          ,            ,Jordan Poole            ,GSW                       ,                        ,                          ,                 ,
  333 ,2POINTMISS       ,     4 ,5:30         ,MISS Dort 16' Pullup Jump Shot                                 ,                   ,                                                      ,          ,            ,Luguentz Dort           ,OKC                       ,                        ,                          ,                 ,
  334 ,REBOUND          ,     4 ,5:25         ,                                                               ,                   ,Looney REBOUND (Off:0 Def:14)                         ,          ,            ,Kevon Looney            ,GSW                       ,                        ,                          ,                 ,
  335 ,3POINT           ,     4 ,5:15         ,                                                               ,                   ,DiVincenzo 23' 3PT Jump Shot (13 PTS)                 ,151 - 137 ,-14         ,Donte DiVincenzo        ,GSW                       ,                        ,                          ,                 ,
  336 ,2POINT           ,     4 ,5:05         ,Giddey 13' Pullup Jump Shot (28 PTS)                           ,                   ,                                                      ,151 - 139 ,-12         ,Josh Giddey             ,OKC                       ,                        ,                          ,                 ,
  337 ,TURNOVER         ,     4 ,4:47         ,                                                               ,                   ,Toscano-Anderson Bad Pass Turnover (P2.T17)           ,          ,            ,Juan Toscano-Anderson   ,GSW                       ,                        ,                          ,                 ,
  338 ,STEAL            ,     4 ,4:46         ,Gilgeous-Alexander STEAL (3 STL)                               ,                   ,                                                      ,          ,            ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  339 ,2POINT           ,     4 ,4:42         ,Gilgeous-Alexander 2' Running Layup (34 PTS)                   ,                   ,                                                      ,151 - 141 ,-10         ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  340 ,TIMEOUT          ,     4 ,4:38         ,Warriors Timeout: Regular (Reg.5 Short 0)                      ,                   ,                                                      ,          ,            ,                        ,                          ,                        ,                          ,                 ,
  341 ,SUB              ,     4 ,4:38         ,                                                               ,                   ,SUB: Curry FOR Poole                                  ,          ,            ,Jordan Poole            ,GSW                       ,Stephen Curry           ,GSW                       ,                 ,
  342 ,SUB              ,     4 ,4:38         ,                                                               ,                   ,SUB: Thompson FOR Lamb                                ,          ,            ,Jeremy Lamb             ,GSW                       ,Klay Thompson           ,GSW                       ,                 ,
  343 ,3POINT           ,     4 ,4:26         ,                                                               ,                   ,Curry 28' 3PT Step Back Jump Shot (44 PTS)            ,154 - 141 ,-13         ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
  344 ,2POINT           ,     4 ,4:12         ,Gilgeous-Alexander 7' Floating Jump Shot (36 PTS)              ,                   ,                                                      ,154 - 143 ,-11         ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  345 ,3POINT           ,     4 ,3:58         ,                                                               ,                   ,Thompson 26' 3PT Jump Shot (27 PTS)                   ,157 - 143 ,-14         ,Klay Thompson           ,GSW                       ,                        ,                          ,                 ,
  346 ,3POINTMISS       ,     4 ,3:44         ,MISS Giddey 24' 3PT Jump Shot                                  ,                   ,                                                      ,          ,            ,Josh Giddey             ,OKC                       ,                        ,                          ,                 ,
  347 ,REBOUND          ,     4 ,3:42         ,                                                               ,                   ,Green REBOUND (Off:0 Def:5)                           ,          ,            ,Draymond Green          ,GSW                       ,                        ,                          ,                 ,
  348 ,2POINT           ,     4 ,3:28         ,                                                               ,                   ,Curry 10' Driving Floating Bank Jump Shot (46 PTS)    ,159 - 143 ,-16         ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
  349 ,3POINT           ,     4 ,3:18         ,Dort 27' 3PT Jump Shot (24 PTS)                                ,                   ,                                                      ,159 - 146 ,-13         ,Luguentz Dort           ,OKC                       ,                        ,                          ,                 ,
  350 ,3POINT           ,     4 ,3:06         ,                                                               ,                   ,Thompson 25' 3PT Jump Shot (30 PTS)                   ,162 - 146 ,-16         ,Klay Thompson           ,GSW                       ,                        ,                          ,                 ,
  351 ,FOUL             ,     4 ,2:56         ,Giddey P.FOUL (P3.T10) (P.Fraher)                              ,                   ,                                                      ,          ,            ,Josh Giddey             ,OKC                       ,Stephen Curry           ,GSW                       ,                 ,
  352 ,FTMAKE           ,     4 ,2:56         ,                                                               ,                   ,Curry Free Throw 1 of 2 (47 PTS)                      ,163 - 146 ,-17         ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
  353 ,FTMAKE           ,     4 ,2:56         ,                                                               ,                   ,Curry Free Throw 2 of 2 (48 PTS)                      ,164 - 146 ,-18         ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
  354 ,TIMEOUT          ,     4 ,2:56         ,Thunder Timeout: Regular (Reg.3 Short 0)                       ,                   ,                                                      ,          ,            ,                        ,                          ,                        ,                          ,                 ,
  355 ,SUB              ,     4 ,2:56         ,SUB: Mann FOR Dort                                             ,                   ,                                                      ,          ,            ,Luguentz Dort           ,OKC                       ,Tre Mann                ,OKC                       ,                 ,
  356 ,SUB              ,     4 ,2:56         ,SUB: Joe FOR Giddey                                            ,                   ,                                                      ,          ,            ,Josh Giddey             ,OKC                       ,Isaiah Joe              ,OKC                       ,                 ,
  357 ,2POINT           ,     4 ,2:47         ,Mann 11' Driving Floating Jump Shot (20 PTS)                   ,                   ,                                                      ,164 - 148 ,-16         ,Tre Mann                ,OKC                       ,                        ,                          ,                 ,
  358 ,2POINT           ,     4 ,2:28         ,                                                               ,                   ,Curry 4' Driving Layup (50 PTS)                       ,166 - 148 ,-18         ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
  359 ,3POINT           ,     4 ,2:17         ,Joe 28' 3PT Jump Shot (6 PTS)                                  ,                   ,                                                      ,166 - 151 ,-15         ,Isaiah Joe              ,OKC                       ,                        ,                          ,                 ,
  360 ,3POINT           ,     4 ,2:02         ,                                                               ,                   ,Thompson 26' 3PT Jump Shot (33 PTS)                   ,169 - 151 ,-18         ,Klay Thompson           ,GSW                       ,                        ,                          ,                 ,
  361 ,2POINT           ,     4 ,1:54         ,Gilgeous-Alexander 8' Driving Floating Jump Shot (38 PTS)      ,                   ,                                                      ,169 - 153 ,-16         ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  362 ,3POINT           ,     4 ,1:42         ,                                                               ,                   ,Curry 29' 3PT Step Back Jump Shot (53 PTS)            ,172 - 153 ,-19         ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
  363 ,2POINTMISS       ,     4 ,1:34         ,MISS Mann 12' Pullup Jump Shot                                 ,                   ,                                                      ,          ,            ,Tre Mann                ,OKC                       ,                        ,                          ,                 ,
  364 ,REBOUND          ,     4 ,1:32         ,                                                               ,                   ,Green REBOUND (Off:0 Def:6)                           ,          ,            ,Draymond Green          ,GSW                       ,                        ,                          ,                 ,
  365 ,3POINT           ,     4 ,1:21         ,                                                               ,                   ,Thompson 27' 3PT Jump Shot (36 PTS)                   ,175 - 153 ,-22         ,Klay Thompson           ,GSW                       ,                        ,                          ,                 ,
  366 ,TIMEOUT          ,     4 ,1:20         ,Thunder Timeout: Regular (Reg.4 Short 0)                       ,                   ,                                                      ,          ,            ,                        ,                          ,                        ,                          ,                 ,
  367 ,3POINTMISS       ,     4 ,1:11         ,MISS Joe 26' 3PT Jump Shot                                     ,                   ,                                                      ,          ,            ,Isaiah Joe              ,OKC                       ,                        ,                          ,                 ,
  368 ,REBOUND          ,     4 ,1:08         ,                                                               ,                   ,Curry REBOUND (Off:0 Def:2)                           ,          ,            ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
  369 ,3POINT           ,     4 ,1:01         ,                                                               ,                   ,Curry 30' 3PT Step Back Jump Shot (56 PTS)            ,178 - 153 ,-25         ,Stephen Curry           ,GSW                       ,                        ,                          ,                 ,
  370 ,TIMEOUT          ,     4 ,1:00         ,Warriors Timeout: Regular (Reg.6 Short 0)                      ,                   ,                                                      ,          ,            ,                        ,                          ,                        ,                          ,                 ,
  371 ,SUB              ,     4 ,1:00         ,                                                               ,                   ,SUB: Wiggins FOR Thompson                             ,          ,            ,Klay Thompson           ,GSW                       ,Andrew Wiggins          ,GSW                       ,                 ,
  372 ,SUB              ,     4 ,1:00         ,                                                               ,                   ,SUB: Poole FOR Curry                                  ,          ,            ,Stephen Curry           ,GSW                       ,Jordan Poole            ,GSW                       ,                 ,
  373 ,2POINT           ,     4 ,0:54         ,Gilgeous-Alexander 5' Driving Floating Jump Shot (40 PTS)      ,                   ,                                                      ,178 - 155 ,-23         ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
  374 ,TURNOVER         ,     4 ,0:42         ,                                                               ,                   ,Poole Bad Pass Turnover (P4.T18)                      ,          ,            ,Jordan Poole            ,GSW                       ,                        ,                          ,                 ,
  375 ,STEAL            ,     4 ,0:40         ,Bazley STEAL (3 STL)                                           ,                   ,                                                      ,          ,            ,Darius Bazley           ,OKC                       ,                        ,                          ,                 ,
  376 ,2POINT           ,     4 ,0:37         ,Bazley 2' Running Layup (16 PTS)                               ,                   ,                                                      ,178 - 157 ,-21         ,Darius Bazley           ,OKC                       ,                        ,                          ,                 ,
  377 ,FOUL             ,     4 ,0:30         ,Mann P.FOUL (P2.T11) (S.Wall)                                  ,                   ,                                                      ,          ,            ,Tre Mann                ,OKC                       ,Jordan Poole            ,GSW                       ,                 ,
  378 ,FTMAKE           ,     4 ,0:30         ,                                                               ,                   ,Poole Free Throw 1 of 2 (25 PTS)                      ,179 - 157 ,-22         ,Jordan Poole            ,GSW                       ,                        ,                          ,                 ,
  379 ,FTMAKE           ,     4 ,0:30         ,                                                               ,                   ,Poole Free Throw 2 of 2 (26 PTS)                      ,180 - 157 ,-23         ,Jordan Poole            ,GSW                       ,                        ,                          ,                 ,
  380 ,2POINT           ,     4 ,0:23         ,Bazley 3' Driving Layup (18 PTS)                               ,                   ,                                                      ,180 - 159 ,-21         ,Darius Bazley           ,OKC                       ,                        ,                          ,                 ,
  381 ,FOUL             ,     4 ,0:14         ,Bazley P.FOUL (P3.T12) (S.Wall)                                ,                   ,                                                      ,          ,            ,Darius Bazley           ,OKC                       ,Juan Toscano-Anderson   ,GSW                       ,                 ,
  382 ,FTMAKE           ,     4 ,0:14         ,                                                               ,                   ,Toscano-Anderson Free Throw 1 of 2 (6 PTS)            ,181 - 159 ,-22         ,Juan Toscano-Anderson   ,GSW                       ,                        ,                          ,                 ,
  383 ,FTMISS           ,     4 ,0:14         ,                                                               ,                   ,MISS Toscano-Anderson Free Throw 2 of 2               ,          ,            ,Juan Toscano-Anderson   ,GSW                       ,                        ,                          ,                 ,
  384 ,REBOUND          ,     4 ,0:12         ,Bazley REBOUND (Off:2 Def:5)                                   ,                   ,                                                      ,          ,            ,Darius Bazley           ,OKC                       ,                        ,                          ,                 ,
  385 ,2POINT           ,     4 ,0:04         ,Gilgeous-Alexander 1' Driving Dunk (42 PTS)                    ,                   ,                                                      ,181 - 161 ,-20         ,Shai Gilgeous-Alexander ,OKC                       ,                        ,                          ,                 ,
